match_id,date,player_team,striker,batting_position,balls_faced,runs_scored,strike_rate,dots,singles,doubles,triples,fours,fives,sixes,dismissal_type
202501,2025-03-22,KKR,de Kock,1,5,4,80.0,4,0,0,0,1,0,0,caught
202501,2025-03-22,KKR,Rahane,2,31,56,180.64516129032256,14,6,1,0,6,0,4,caught
202501,2025-03-22,KKR,Narine,3,26,44,169.23076923076923,13,4,1,0,5,0,3,caught
202501,2025-03-22,KKR,Venkatesh Iyer,4,7,6,85.71428571428571,4,2,0,0,1,0,0,bowled
202501,2025-03-22,KKR,Angkrish Raghuvanshi,5,22,30,136.36363636363635,4,14,1,0,2,0,1,caught
202501,2025-03-22,KKR,Rinku Singh,6,10,12,120.0,2,6,1,0,1,0,0,bowled
202501,2025-03-22,KKR,Russell,7,3,4,133.33333333333331,2,0,0,0,1,0,0,bowled
202501,2025-03-22,KKR,Ramandeep Singh,8,9,6,66.66666666666666,3,6,0,0,0,0,0,not out
202501,2025-03-22,KKR,Harshit Rana,9,6,5,83.33333333333334,4,1,0,0,1,0,0,caught
202501,2025-03-22,KKR,Spencer Johnson,10,1,1,100.0,0,1,0,0,0,0,0,not out
202501,2025-03-22,RCB,Phil Salt,1,31,56,180.64516129032256,13,6,1,0,9,0,2,caught
202501,2025-03-22,RCB,Kohli,2,36,59,163.88888888888889,6,21,2,0,4,0,3,not out
202501,2025-03-22,RCB,Padikkal,3,10,10,100.0,3,6,0,0,1,0,0,caught
202501,2025-03-22,RCB,Rajat Patidar,4,16,34,212.5,4,4,2,0,5,0,1,caught
202501,2025-03-22,RCB,Livingstone,5,5,15,300.0,1,1,0,0,2,0,1,not out
202502,2025-03-23,SRH,Abhishek Sharma,1,11,24,218.18181818181816,3,2,1,0,5,0,0,caught
202502,2025-03-23,SRH,Head,2,29,67,231.0344827586207,7,7,3,0,9,0,3,caught
202502,2025-03-23,SRH,Ishan Kishan,3,46,106,230.43478260869566,7,18,4,0,11,0,6,not out
202502,2025-03-23,SRH,Nitish Reddy,4,15,30,200.0,3,6,1,0,4,0,1,caught
202502,2025-03-23,SRH,Klaasen,5,14,34,242.85714285714283,2,4,2,0,5,0,1,caught
202502,2025-03-23,SRH,Aniket Verma,6,3,7,233.33333333333334,1,1,0,0,0,0,1,caught
202502,2025-03-23,SRH,Abhinav Manohar,7,1,0,0.0,1,0,0,0,0,0,0,caught
202502,2025-03-23,SRH,Cummins,8,1,0,0.0,1,0,0,0,0,0,0,not out
202502,2025-03-23,RR,Jaiswal,1,5,1,20.0,4,1,0,0,0,0,0,caught
202502,2025-03-23,RR,Samson,2,36,65,180.55555555555557,13,11,1,0,7,0,4,caught
202502,2025-03-23,RR,Riyan Parag,3,2,4,200.0,1,0,0,0,1,0,0,caught
202502,2025-03-23,RR,Nitish Rana,4,8,11,137.5,4,1,1,0,2,0,0,caught
202502,2025-03-23,RR,Dhruv Jurel,5,35,70,200.0,11,12,1,0,5,0,6,caught
202502,2025-03-23,RR,Shubham Dubey,6,10,33,330.0,0,5,0,0,1,0,4,not out
202502,2025-03-23,RR,Hetmyer,7,23,42,182.6086956521739,7,8,3,0,1,0,4,caught
202502,2025-03-23,RR,Jofra Archer,8,1,1,100.0,0,1,0,0,0,0,0,not out
202503,2025-03-23,MI,Rohit,1,4,0,0.0,4,0,0,0,0,0,0,caught
202503,2025-03-23,MI,Will Jacks,2,7,11,157.14285714285714,2,3,0,0,2,0,0,caught
202503,2025-03-23,MI,Rickelton,3,7,13,185.71428571428572,3,1,0,0,3,0,0,bowled
202503,2025-03-23,MI,Suryakumar Yadav,4,26,29,111.53846153846155,11,9,3,0,2,0,1,stumped
202503,2025-03-23,MI,Tilak Varma,5,24,31,129.16666666666669,11,7,2,0,2,0,2,lbw
202503,2025-03-23,MI,Robin Minz,6,9,3,33.33333333333333,6,3,0,0,0,0,0,caught
202503,2025-03-23,MI,Naman Dhir,7,12,17,141.66666666666669,1,7,3,0,1,0,0,bowled
202503,2025-03-23,MI,Santner,8,13,11,84.61538461538461,5,7,0,0,1,0,0,lbw
202503,2025-03-23,MI,Chahar,9,15,28,186.66666666666666,5,4,2,0,2,0,2,not out
202503,2025-03-23,MI,Boult,10,2,1,50.0,1,1,0,0,0,0,0,caught
202503,2025-03-23,MI,Satyanarayana Raju,11,1,1,100.0,0,1,0,0,0,0,0,not out
202503,2025-03-23,CSK,Ravindra,1,45,65,144.44444444444443,10,25,4,0,2,0,4,not out
202503,2025-03-23,CSK,Tripathi,2,3,2,66.66666666666666,1,2,0,0,0,0,0,caught
202503,2025-03-23,CSK,Gaikwad,3,26,53,203.84615384615384,8,7,2,0,6,0,3,caught
202503,2025-03-23,CSK,Shivam Dube,4,7,9,128.57142857142858,3,3,0,0,0,0,1,caught
202503,2025-03-23,CSK,Hooda,5,5,3,60.0,2,3,0,0,0,0,0,caught
202503,2025-03-23,CSK,Sam Curran,6,9,4,44.44444444444444,5,4,0,0,0,0,0,bowled
202503,2025-03-23,CSK,Jadeja,7,18,17,94.44444444444444,6,9,2,0,1,0,0,runout
202503,2025-03-23,CSK,Dhoni,8,2,0,0.0,2,0,0,0,0,0,0,not out
202504,2025-03-24,LSG,Markram,1,13,15,115.38461538461537,6,5,0,0,1,0,1,caught
202504,2025-03-24,LSG,Mitchell Marsh,2,36,72,200.0,13,10,1,0,6,0,6,caught
202504,2025-03-24,LSG,Pooran,3,30,75,250.0,8,9,0,0,6,0,7,bowled
202504,2025-03-24,LSG,Pant,4,6,0,0.0,6,0,0,0,0,0,0,caught
202504,2025-03-24,LSG,Miller,5,18,23,127.77777777777777,6,9,1,0,0,0,2,not out
202504,2025-03-24,LSG,Ayush Badoni,6,5,4,80.0,1,4,0,0,0,0,0,caught
202504,2025-03-24,LSG,Thakur,7,2,0,0.0,2,0,0,0,0,0,0,runout
202504,2025-03-24,LSG,Shahbaz Ahmed,8,8,9,112.5,2,5,0,0,1,0,0,caught
202504,2025-03-24,LSG,Ravi Bishnoi,9,2,0,0.0,2,0,0,0,0,0,0,bowled
202504,2025-03-24,DC,Fraser-McGurk,1,2,1,50.0,1,1,0,0,0,0,0,caught
202504,2025-03-24,DC,du Plessis,2,18,29,161.11111111111111,8,5,0,0,3,0,2,caught
202504,2025-03-24,DC,Abishek Porel,3,2,0,0.0,2,0,0,0,0,0,0,caught
202504,2025-03-24,DC,Sameer Rizvi,4,4,4,100.0,3,0,0,0,1,0,0,caught
202504,2025-03-24,DC,Axar,5,11,22,200.0,3,4,0,0,3,0,1,caught
202504,2025-03-24,DC,Stubbs,6,22,34,154.54545454545453,6,12,0,0,1,0,3,bowled
202504,2025-03-24,DC,Ashutosh Sharma,7,31,66,212.9032258064516,7,12,2,0,5,0,5,not out
202504,2025-03-24,DC,Vipraj Nigam,8,15,39,260.0,1,7,0,0,5,0,2,caught
202504,2025-03-24,DC,Mitchell Starc,9,5,2,40.0,3,2,0,0,0,0,0,caught
202504,2025-03-24,DC,Kuldeep Yadav,10,5,5,100.0,3,1,0,0,1,0,0,runout
202504,2025-03-24,DC,Mohit Sharma,11,2,1,50.0,1,1,0,0,0,0,0,not out
202505,2025-03-25,PBKS,Priyansh Arya,1,23,47,204.34782608695653,9,3,2,0,7,0,2,caught
202505,2025-03-25,PBKS,Prabhsimran,2,8,5,62.5,6,1,0,0,1,0,0,caught
202505,2025-03-25,PBKS,Shreyas Iyer,3,42,97,230.95238095238093,9,15,4,0,5,0,9,not out
202505,2025-03-25,PBKS,Azmatullah,4,15,16,106.66666666666667,10,2,0,0,2,0,1,caught
202505,2025-03-25,PBKS,Maxwell,5,1,0,0.0,1,0,0,0,0,0,0,lbw
202505,2025-03-25,PBKS,Stoinis,6,15,20,133.33333333333331,8,4,0,0,1,0,2,caught
202505,2025-03-25,PBKS,Shashank Singh,7,16,44,275.0,2,4,2,0,6,0,2,not out
202505,2025-03-25,GT,Sai Sudharsan,1,41,74,180.4878048780488,14,14,2,0,5,0,6,caught
202505,2025-03-25,GT,Shubman Gill,2,14,33,235.71428571428572,4,3,2,0,2,0,3,caught
202505,2025-03-25,GT,Buttler,3,33,54,163.63636363636365,7,14,6,0,4,0,2,bowled
202505,2025-03-25,GT,Rutherford,4,28,46,164.28571428571428,11,8,2,0,4,0,3,bowled
202505,2025-03-25,GT,Rahul Tewatia,5,2,6,300.0,1,0,0,0,0,0,1,runout
202505,2025-03-25,GT,Arshad Khan,6,1,1,100.0,0,1,0,0,0,0,0,not out
202505,2025-03-25,GT,Shahrukh Khan,7,1,6,600.0,0,0,0,0,0,0,1,not out
202506,2025-03-26,RR,Jaiswal,1,24,29,120.83333333333333,11,9,0,0,2,0,2,caught
202506,2025-03-26,RR,Samson,2,11,13,118.18181818181819,5,3,1,0,2,0,0,bowled
202506,2025-03-26,RR,Riyan Parag,3,15,25,166.66666666666669,5,7,0,0,0,0,3,caught
202506,2025-03-26,RR,Nitish Rana,4,9,8,88.88888888888889,2,6,1,0,0,0,0,bowled
202506,2025-03-26,RR,Hasaranga,5,4,4,100.0,1,2,1,0,0,0,0,caught
202506,2025-03-26,RR,Dhruv Jurel,6,28,33,117.85714285714286,11,11,1,0,5,0,0,bowled
202506,2025-03-26,RR,Shubham Dubey,7,12,9,75.0,6,5,0,0,1,0,0,caught
202506,2025-03-26,RR,Hetmyer,8,8,7,87.5,4,3,0,0,1,0,0,caught
202506,2025-03-26,RR,Jofra Archer,9,7,16,228.57142857142856,2,2,1,0,0,0,2,bowled
202506,2025-03-26,RR,Theekshana,10,1,1,100.0,0,1,0,0,0,0,0,not out
202506,2025-03-26,RR,Tushar Deshpande,11,1,2,200.0,0,0,1,0,0,0,0,not out
202506,2025-03-26,KKR,Moeen Ali,1,12,5,41.66666666666667,7,5,0,0,0,0,0,runout
202506,2025-03-26,KKR,de Kock,2,61,97,159.01639344262296,19,27,1,0,8,0,6,not out
202506,2025-03-26,KKR,Rahane,3,15,18,120.0,6,6,1,0,1,0,1,caught
202506,2025-03-26,KKR,Angkrish Raghuvanshi,4,17,22,129.41176470588235,1,14,0,0,2,0,0,not out
202507,2025-03-27,SRH,Head,1,27,46,170.37037037037038,12,6,1,0,5,0,3,bowled
202507,2025-03-27,SRH,Abhishek Sharma,2,6,6,100.0,3,2,0,0,1,0,0,caught
202507,2025-03-27,SRH,Ishan Kishan,3,1,0,0.0,1,0,0,0,0,0,0,caught
202507,2025-03-27,SRH,Nitish Reddy,4,28,32,114.28571428571428,7,15,3,1,2,0,0,bowled
202507,2025-03-27,SRH,Klaasen,5,17,26,152.94117647058823,3,10,1,0,2,0,1,runout
202507,2025-03-27,SRH,Aniket Verma,6,13,36,276.9230769230769,4,2,2,0,0,0,5,caught
202507,2025-03-27,SRH,Abhinav Manohar,7,6,2,33.33333333333333,4,2,0,0,0,0,0,caught
202507,2025-03-27,SRH,Harshal Patel,8,11,12,109.09090909090908,1,8,2,0,0,0,0,not out
202507,2025-03-27,SRH,Cummins,9,4,18,450.0,1,0,0,0,0,0,3,caught
202507,2025-03-27,SRH,Shami,10,3,1,33.33333333333333,2,1,0,0,0,0,0,caught
