match_id,innings,bowler,runs_conceded,wickets_taken,dots_bowled,fours_conceded,sixes_conceded,bowling_team,opposition_team,overs_bowled,economy_rate
202501,1,Hazlewood,23,2,15,3,1,RCB,KKR,4.0,5.75
202501,1,Krunal Pandya,29,3,8,2,1,RCB,KKR,4.0,7.25
202501,1,Livingstone,14,0,2,1,0,RCB,KKR,2.0,7.0
202501,1,Rasikh Salam,36,1,8,3,3,RCB,KKR,3.0,12.0
202501,1,Suyash Sharma,47,1,8,6,2,RCB,KKR,4.0,11.75
202501,1,Yash Dayal,25,1,7,3,1,RCB,KKR,3.0,8.333333333333334
202501,2,Harshit Rana,32,0,4,5,0,KKR,RCB,3.0,10.666666666666666
202501,2,Narine,28,1,4,1,1,KKR,RCB,4.0,7.0
202501,2,Spencer Johnson,32,0,6,3,3,KKR,RCB,2.2,13.714285714285714
202501,2,Vaibhav Arora,42,1,4,7,1,KKR,RCB,3.0,14.0
202501,2,Varun Chakaravarthy,43,1,7,5,2,KKR,RCB,4.0,10.75
202502,1,Fazalhaq Farooqi,49,0,3,6,3,RR,SRH,3.0,16.333333333333332
202502,1,Jofra Archer,80,0,1,10,4,RR,SRH,4.0,20.0
202502,1,Nitish Rana,9,0,0,1,0,RR,SRH,1.0,9.0
202502,1,Sandeep Sharma,51,1,5,4,3,RR,SRH,4.0,12.75
202502,1,Theekshana,52,2,8,8,1,RR,SRH,4.0,13.0
202502,1,Tushar Deshpande,44,3,7,5,1,RR,SRH,4.0,11.0
202502,2,Abhishek Sharma,17,0,6,2,1,SRH,RR,2.0,8.5
202502,2,Cummins,60,0,4,3,5,SRH,RR,4.0,15.0
202502,2,Harshal Patel,34,2,7,0,3,SRH,RR,4.0,8.5
202502,2,Shami,33,1,8,5,1,SRH,RR,3.0,11.0
202502,2,Simarjeet Singh,50,2,7,5,4,SRH,RR,3.0,16.666666666666668
202502,2,Zampa,48,1,7,3,4,SRH,RR,4.0,12.0
202503,1,Ashwin,31,1,6,4,0,CSK,MI,4.0,7.75
202503,1,Jadeja,21,0,8,0,2,CSK,MI,3.0,7.0
202503,1,Khaleel Ahmed,29,3,15,3,2,CSK,MI,4.0,7.25
202503,1,Nathan Ellis,39,1,5,3,1,CSK,MI,4.0,9.75
202503,1,Noor Ahmad,22,4,11,1,0,CSK,MI,4.0,5.5
202503,1,Sam Curran,13,0,2,3,0,CSK,MI,1.0,13.0
202503,2,Boult,27,0,4,3,0,MI,CSK,3.0,9.0
202503,2,Chahar,18,1,5,2,1,MI,CSK,2.0,9.0
202503,2,Naman Dhir,12,1,7,0,0,MI,CSK,3.0,4.0
202503,2,Santner,24,0,5,2,2,MI,CSK,2.1,11.076923076923078
202503,2,Satyanarayana Raju,13,0,0,2,0,MI,CSK,1.0,13.0
202503,2,Vignesh Puthur,32,3,9,0,3,MI,CSK,4.0,8.0
202503,2,Will Jacks,32,1,7,0,2,MI,CSK,4.0,8.0
202504,1,Axar,18,0,7,2,0,DC,LSG,3.0,6.0
202504,1,Kuldeep Yadav,21,3,14,2,1,DC,LSG,4.0,5.25
202504,1,Mitchell Starc,42,3,9,4,3,DC,LSG,4.0,10.5
202504,1,Mohit Sharma,43,0,6,2,2,DC,LSG,4.0,10.75
202504,1,Mukesh Kumar,22,1,4,1,2,DC,LSG,2.0,11.0
202504,1,Stubbs,28,0,1,1,4,DC,LSG,1.0,28.0
202504,1,Vipraj Nigam,35,1,3,2,4,DC,LSG,2.0,17.5
202504,2,Digvesh Rathi,31,2,10,4,0,LSG,DC,4.0,7.75
202504,2,M Siddharth,39,2,9,3,3,LSG,DC,4.0,9.75
202504,2,Prince Yadav,47,1,5,5,2,LSG,DC,4.0,11.75
202504,2,Ravi Bishnoi,53,2,8,4,5,LSG,DC,4.0,13.25
202504,2,Shahbaz Ahmed,22,0,1,1,2,LSG,DC,1.3,14.666666666666666
202504,2,Thakur,19,2,5,2,1,LSG,DC,2.0,9.5
202505,1,Arshad Khan,21,0,1,3,1,GT,PBKS,1.0,21.0
202505,1,Prasidh,41,0,6,4,3,GT,PBKS,3.0,13.666666666666666
202505,1,Rabada,41,1,7,5,1,GT,PBKS,4.0,10.25
202505,1,Rashid Khan,49,1,7,2,5,GT,PBKS,4.0,12.25
202505,1,Sai Kishore,30,3,12,1,3,GT,PBKS,4.0,7.5
202505,1,Siraj,60,0,7,8,3,GT,PBKS,4.0,15.0
202505,2,Arshdeep Singh,36,3,11,2,3,PBKS,GT,4.0,9.0
202505,2,Azmatullah,29,0,3,1,3,PBKS,GT,2.0,14.5
202505,2,Chahal,35,0,3,3,2,PBKS,GT,3.0,11.666666666666666
202505,2,Marco Jansen,46,1,4,4,2,PBKS,GT,4.0,11.5
202505,2,Maxwell,27,1,2,1,2,PBKS,GT,2.0,13.5
202505,2,Stoinis,31,0,3,2,3,PBKS,GT,2.0,15.5
202505,2,Vijaykumar Vyshak,27,0,7,2,1,PBKS,GT,3.0,9.0
202506,1,Harshit Rana,36,2,11,4,2,KKR,RR,4.0,9.0
202506,1,Moeen Ali,23,2,5,1,0,KKR,RR,4.0,5.75
202506,1,Spencer Johnson,41,1,9,4,2,KKR,RR,4.0,10.25
202506,1,Vaibhav Arora,33,2,9,2,2,KKR,RR,4.0,8.25
202506,1,Varun Chakaravarthy,17,2,13,0,1,KKR,RR,4.0,4.25
202506,2,Hasaranga,34,1,2,4,1,RR,KKR,3.0,11.333333333333334
202506,2,Jofra Archer,32,0,7,2,3,RR,KKR,2.3,12.8
202506,2,Nitish Rana,9,0,0,1,0,RR,KKR,1.0,9.0
202506,2,Riyan Parag,26,1,6,1,1,RR,KKR,4.0,6.5
202506,2,Sandeep Sharma,11,0,4,1,0,RR,KKR,2.0,5.5
202506,2,Theekshana,33,0,10,1,2,RR,KKR,4.0,8.25
202506,2,Tushar Deshpande,7,0,2,1,0,RR,KKR,1.0,7.0
202507,1,Avesh Khan,45,1,5,3,3,LSG,SRH,4.0,11.25
202507,1,Digvesh Rathi,40,1,8,1,3,LSG,SRH,4.0,10.0
202507,1,Prince Yadav,28,2,7,2,0,LSG,SRH,4.0,7.0
202507,1,Ravi Bishnoi,42,1,8,1,4,LSG,SRH,4.0,10.5
202507,1,Thakur,33,4,11,3,2,LSG,SRH,4.0,8.25
202507,2,Abhishek Sharma,20,0,5,1,2,SRH,LSG,2.0,10.0
202507,2,Cummins,29,2,9,5,0,SRH,LSG,3.0,9.666666666666666
202507,2,Harshal Patel,27,1,2,3,1,SRH,LSG,2.0,13.5
202507,2,Ishan Kishan,4,0,0,1,0,SRH,LSG,0.1,24.0
202507,2,Shami,38,1,4,3,2,SRH,LSG,3.0,12.666666666666666
202507,2,Simarjeet Singh,28,0,5,2,3,SRH,LSG,2.0,14.0
202507,2,Zampa,46,1,3,3,3,SRH,LSG,4.0,11.5
202508,1,Ashwin,22,1,3,2,1,CSK,RCB,2.0,11.0
202508,1,Jadeja,37,0,5,4,2,CSK,RCB,3.0,12.333333333333334
202508,1,Khaleel Ahmed,29,1,12,5,0,CSK,RCB,4.0,7.25
202508,1,Noor Ahmad,36,3,7,1,3,CSK,RCB,4.0,9.0
202508,1,Pathirana,37,2,9,3,2,CSK,RCB,4.0,9.25
202508,1,Sam Curran,35,0,7,0,4,CSK,RCB,3.0,11.666666666666666
202508,2,Bhuvneshwar,20,1,9,3,0,RCB,CSK,3.0,6.666666666666667
202508,2,Hazlewood,21,3,15,4,0,RCB,CSK,4.0,5.25
202508,2,Krunal Pandya,26,0,4,2,2,RCB,CSK,2.0,13.0
202508,2,Livingstone,28,2,5,2,0,RCB,CSK,4.0,7.0
202508,2,Suyash Sharma,33,0,9,2,2,RCB,CSK,4.0,8.25
202508,2,Yash Dayal,18,2,6,2,0,RCB,CSK,3.0,6.0
202509,1,Boult,34,1,6,3,1,MI,GT,4.0,8.5
202509,1,Chahar,39,2,9,2,2,MI,GT,4.0,9.75
202509,1,Hardik Pandya,28,2,8,1,1,MI,GT,4.0,7.0
202509,1,Mujeeb,28,1,4,3,1,MI,GT,2.0,14.0
202509,1,Santner,25,0,5,2,1,MI,GT,3.0,8.333333333333334
202509,1,Satyanarayana Raju,41,2,3,2,3,MI,GT,3.0,13.666666666666666
202509,2,Ishant,17,0,5,1,1,GT,MI,2.0,8.5
202509,2,Prasidh,18,2,14,2,0,GT,MI,4.0,4.5
202509,2,Rabada,42,1,6,4,2,GT,MI,4.0,10.5
202509,2,Rashid Khan,10,0,4,0,0,GT,MI,2.0,5.0
202509,2,Sai Kishore,37,1,6,2,2,GT,MI,4.0,9.25
202509,2,Siraj,36,2,10,3,2,GT,MI,4.0,9.0
